Japanese	English
ゆれる	to shake
よう	use
ようい	preparation
ようじ	things to do
よごれる	to get dirty
よてい	arrangement
よやく	reservation
よる	to visit
よろこぶ	to be delighted
りゆう	reason
りよう	utilization
りょうほう	both sides
るす	absence
れいぼう	air conditioning
れきし	history
れんらく	contact
わかす	to boil
わかれる	to separate
わけ	meaning
わすれもの	lost article
わらう	to laugh
われる	to break
